,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind
0,Saint-Philippe,90,CA,1554509119,74,45.36,-73.48,37.99,14.99
1,Esperance,20,TT,1554509121,74,10.24,-61.45,80.6,8.05
2,Mataura,0,NZ,1554508809,59,-46.19,168.86,54.0,4.0
3,Sistranda,0,NO,1554509095,69,63.73,8.83,39.2,19.46
4,Suzaka,20,JP,1554509093,49,36.61,138.35,54.0,5.82
5,Kodiak,1,US,1554509017,36,39.95,-94.76,64.99,12.75
6,Georgetown,20,GY,1554508800,83,6.8,-58.16,80.6,4.7
7,Busselton,0,AU,1554509181,52,-33.64,115.35,52.0,6.62
8,Qaanaaq,0,GL,1554509186,77,77.48,-69.36,-0.97,7.63
9,Artyom,0,RU,1554507000,52,43.36,132.19,42.8,2.24
10,Punta Arenas,75,CL,1554508800,80,-53.16,-70.91,44.01,28.86
11,Rikitea,24,PF,1554509190,100,-23.12,-134.97,77.43,14.67
12,Hilo,40,US,1554509058,61,19.71,-155.08,80.6,11.41
13,Narsaq,75,GL,1554504600,44,60.91,-46.05,37.4,33.33
14,Ushuaia,75,AR,1554505200,93,-54.81,-68.31,44.6,41.38
15,Namatanai,44,PG,1554509195,100,-3.66,152.44,82.74,1.25
16,Dikson,76,RU,1554509196,92,73.51,80.55,18.57,12.88
17,Tilichiki,0,RU,1554509198,94,60.47,166.1,33.15,3.38
18,Dargaville,48,NZ,1554509199,74,-35.94,173.86,66.99,8.75
19,Klaksvik,32,FO,1554506400,86,62.23,-6.59,41.0,5.82
20,Arraial do Cabo,20,BR,1554505200,88,-22.97,-42.02,80.6,12.75
21,Carnarvon,0,ZA,1554509203,78,-30.97,22.13,49.17,10.54
22,Wahiawa,1,US,1554509106,51,21.5,-158.02,84.2,16.11
23,Ponta do Sol,68,BR,1554509171,96,-20.63,-46.0,70.68,2.48
24,Caravelas,0,BR,1554509207,97,-17.73,-39.27,82.65,15.46
25,Tuatapere,0,NZ,1554508809,59,-46.13,167.69,54.0,4.0
26,Longyearbyen,90,NO,1554504600,62,78.22,15.63,19.4,2.59
27,Poum,64,MK,1554509205,96,41.28,20.71,39.99,1.36
28,Coquimbo,0,CL,1554508800,93,-29.95,-71.34,59.0,2.24
29,Praya,40,ID,1554508800,94,-8.71,116.27,80.6,2.59
30,Torbay,75,CA,1554509010,63,47.66,-52.73,30.99,28.86
31,Harper,40,US,1554509131,44,30.3,-99.24,80.01,6.93
32,Geraldton,90,CA,1554507120,74,49.72,-86.95,35.6,6.93
33,Nanortalik,56,GL,1554509221,89,60.14,-45.24,32.25,23.51
34,Chuy,8,UY,1554509222,82,-33.69,-53.46,66.0,17.25
35,Wajir,0,KE,1554509224,47,1.75,40.07,83.1,13.0
36,Landeck,75,AT,1554509147,81,47.14,10.57,42.8,8.05
37,Udachnyy,88,RU,1554509208,79,66.42,112.4,22.53,3.38
38,Leningradskiy,32,RU,1554509228,89,69.38,178.42,7.95,27.54
39,Kapaa,1,US,1554509022,57,22.08,-159.32,80.6,8.05
40,Neuquen,0,AR,1554505200,52,-38.95,-68.06,64.4,5.39
41,Bratsk,24,RU,1554507750,53,56.15,101.63,21.2,2.24
42,Zaozerne,0,UA,1554509233,62,51.37,23.94,44.4,14.9
43,Khatanga,0,RU,1554509234,76,71.98,102.47,13.17,17.69
